candle_idx,date,pattern,c1_open,c1_close,c2_open,c2_close,c3_open,c3_close,pattern_high,pattern_low,next_high,next_low,outcome
317,2025-01-23,2-1-3 Bearish Reversal,6504.0,6539.0,6542.5,6522.5,6388.5,6440.75,6552.75,6387.25,6496.0,6414.0,Broke None
318,2025-01-24,1-3-2 Bearish Reversal,6542.5,6522.5,6388.5,6440.75,6448.0,6481.75,6552.75,6387.25,6481.75,6432.75,Broke None
319,2025-01-27,3-2-1 Bullish Reversal,6388.5,6440.75,6448.0,6481.75,6477.75,6467.0,6496.0,6387.25,6506.75,6447.0,Broke High
320,2025-01-28,3-1-1 Bullish Reversal,6448.0,6481.75,6477.75,6467.0,6480.0,6483.75,6506.75,6414.0,6538.25,6448.25,Broke High
321,2025-01-29,1-1-3 Bearish Reversal,6477.75,6467.0,6480.0,6483.75,6513.0,6456.0,6538.25,6432.75,6452.5,6340.75,Broke Low
322,2025-01-30,1-3-3 Bearish Reversal,6480.0,6483.75,6513.0,6456.0,6363.0,6446.0,6538.25,6340.75,6459.25,6408.5,Broke None
323,2025-01-31,2-3-1 Bearish Reversal,6513.0,6456.0,6363.0,6446.0,6414.0,6436.25,6538.25,6340.75,6482.5,6420.0,Broke None
324,2025-02-03,3-1-1 Bullish Reversal,6363.0,6446.0,6414.0,6436.25,6441.5,6480.5,6482.5,6340.75,6499.0,6460.5,Broke High
325,2025-02-04,2-3-1 Bullish Reversal,6414.0,6436.25,6441.5,6480.5,6494.25,6484.75,6499.0,6408.5,6513.75,6431.75,Broke High
326,2025-02-05,2-1-3 Bearish Reversal,6441.5,6480.5,6494.25,6484.75,6501.0,6440.5,6513.75,6420.0,6486.5,6458.25,Broke None
327,2025-02-06,1-3-1 Bearish Reversal,6494.25,6484.75,6501.0,6440.5,6471.25,6478.25,6513.75,6431.75,6489.25,6454.5,Broke None
328,2025-02-07,3-1-2 Bullish Reversal,6501.0,6440.5,6471.25,6478.25,6455.5,6481.0,6513.75,6431.75,6475.25,6414.25,Broke Low
329,2025-02-10,1-2-3 Bearish Reversal,6471.25,6478.25,6455.5,6481.0,6421.25,6470.25,6489.25,6414.25,6528.5,6460.75,Broke High
330,2025-02-11,1-3-3 Bullish Reversal,6455.5,6481.0,6421.25,6470.25,6474.0,6522.75,6528.5,6414.25,6535.75,6516.25,Broke High
331,2025-02-12,3-3-1 Bullish Reversal,6421.25,6470.25,6474.0,6522.75,6525.0,6524.5,6535.75,6414.25,6537.5,6526.75,Broke High
332,2025-02-13,3-1-1 Bullish Reversal,6474.0,6522.75,6525.0,6524.5,6534.25,6536.5,6537.5,6460.75,6540.0,6508.75,Broke High
333,2025-02-14,1-3-2 Bullish Reversal,6525.0,6524.5,6534.25,6536.5,6533.75,6535.25,6540.0,6508.75,6557.0,6519.75,Broke High
334,2025-02-17,1-1-3 Bullish Reversal,6534.25,6536.5,6533.75,6535.25,6524.75,6545.5,6557.0,6508.75,6540.5,6493.25,Broke Low
335,2025-02-18,1-3-3 Bearish Reversal,6533.75,6535.25,6524.75,6545.5,6539.0,6523.5,6557.0,6493.25,6523.5,6415.0,Broke Low
336,2025-02-19,1-1-3 Bearish Reversal,6524.75,6545.5,6539.0,6523.5,6523.0,6420.25,6557.0,6415.0,6450.5,6385.0,Broke Low
337,2025-02-20,1-3-2 Bearish Reversal,6539.0,6523.5,6523.0,6420.25,6440.5,6396.0,6540.5,6385.0,6398.25,6314.5,Broke Low
338,2025-02-21,3-1-1 Bearish Reversal,6523.0,6420.25,6440.5,6396.0,6391.0,6370.25,6523.5,6314.5,6414.25,6336.0,Broke None
339,2025-02-24,3-2-1 Bearish Reversal,6440.5,6396.0,6391.0,6370.25,6377.5,6380.75,6450.5,6314.5,6397.75,6263.5,Broke Low
340,2025-02-25,1-1-3 Bearish Reversal,6391.0,6370.25,6377.5,6380.75,6386.0,6271.5,6414.25,6263.5,6361.5,6238.5,Broke Low
341,2025-02-26,1-3-3 Bearish Reversal,6377.5,6380.75,6386.0,6271.5,6270.25,6348.5,6414.25,6238.5,6387.5,6212.25,Broke Low
342,2025-02-27,3-1-3 Bearish Reversal,6386.0,6271.5,6270.25,6348.5,6375.25,6265.5,6397.75,6212.25,6266.25,6134.5,Broke Low
343,2025-02-28,3-3-1 Bearish Reversal,6270.25,6348.5,6375.25,6265.5,6209.5,6215.5,6387.5,6134.5,6260.0,6141.25,Broke None
344,2025-03-03,3-1-2 Bearish Reversal,6375.25,6265.5,6209.5,6215.5,6178.25,6236.0,6387.5,6134.5,6211.75,6110.5,Broke Low
345,2025-03-04,1-3-1 Bearish Reversal,6209.5,6215.5,6178.25,6236.0,6164.25,6151.75,6266.25,6110.5,6181.5,6063.5,Broke Low
346,2025-03-05,3-1-3 Bearish Reversal,6178.25,6236.0,6164.25,6151.75,6116.75,6162.25,6260.0,6063.5,6101.75,5962.0,Broke Low
347,2025-03-06,1-2-3 Bearish Reversal,6164.25,6151.75,6116.75,6162.25,6081.75,6019.25,6211.75,5962.0,6034.25,5924.5,Broke Low
348,2025-03-07,2-3-1 Bearish Reversal,6116.75,6162.25,6081.75,6019.25,5999.5,5967.25,6181.5,5924.5,6036.0,5940.75,Broke None
349,2025-03-10,3-1-1 Bearish Reversal,6081.75,6019.25,5999.5,5967.25,6027.5,5987.75,6101.75,5924.5,5994.0,5898.75,Broke Low
350,2025-03-11,1-1-3 Bearish Reversal,5999.5,5967.25,6027.5,5987.75,5989.0,5927.25,6036.0,5898.75,6039.75,5957.0,Broke High
351,2025-03-12,1-3-3 Bullish Reversal,6027.5,5987.75,5989.0,5927.25,5962.25,6020.0,6039.75,5898.75,6098.75,6024.25,Broke High
352,2025-03-13,3-3-1 Bullish Reversal,5989.0,5927.25,5962.25,6020.0,6028.25,6070.75,6098.75,5898.75,6050.25,5989.75,Broke None
353,2025-03-14,3-1-1 Bearish Reversal,5962.25,6020.0,6028.25,6070.75,6047.75,6008.75,6098.75,5957.0,6109.5,6014.75,Broke High
354,2025-03-17,3-1-3 Bearish Reversal,6028.25,6070.75,6047.75,6008.75,6026.75,6068.75,6109.5,5989.75,6104.25,6023.5,Broke None
355,2025-03-18,3-3-1 Bullish Reversal,6047.75,6008.75,6026.75,6068.75,6030.75,6055.5,6109.5,5989.75,6061.25,5991.25,Broke None
356,2025-03-19,2-1-3 Bearish Reversal,6026.75,6068.75,6030.75,6055.5,6002.75,6059.0,6109.5,5991.25,6164.5,6115.0,Broke High
357,2025-03-20,1-3-1 Bullish Reversal,6030.75,6055.5,6002.75,6059.0,6121.5,6152.0,6164.5,5991.25,6176.25,6148.5,Broke High
358,2025-03-21,3-2-1 Bullish Reversal,6002.75,6059.0,6121.5,6152.0,6165.0,6171.0,6176.25,5991.25,6173.5,6082.0,Broke None
359,2025-03-24,2-1-3 Bearish Reversal,6121.5,6152.0,6165.0,6171.0,6163.0,6093.75,6176.25,6082.0,6118.75,6059.0,Broke Low
360,2025-03-25,1-3-1 Bearish Reversal,6165.0,6171.0,6163.0,6093.75,6081.75,6080.25,6176.25,6059.0,6070.25,5941.25,Broke Low
361,2025-03-26,2-1-3 Bearish Reversal,6163.0,6093.75,6081.75,6080.25,6062.5,5941.5,6173.5,5941.25,6011.75,5872.75,Broke Low
362,2025-03-27,1-3-3 Bearish Reversal,6081.75,6080.25,6062.5,5941.5,5902.5,5983.5,6118.75,5872.75,6033.75,5939.25,Broke None
363,2025-03-28,3-2-1 Bullish Reversal,6062.5,5941.5,5902.5,5983.5,5977.75,6011.25,6070.25,5872.75,6112.25,5905.25,Broke High
364,2025-03-31,3-1-1 Bearish Reversal,5902.5,5983.5,5977.75,6011.25,5952.0,5923.5,6112.25,5872.75,5879.5,5754.25,Broke Low
