et,expiry,spot,net_gex,net_vol_gex,call_gamma,put_gamma
2026-07-29 03:25:05.501,2026-07-29,7437.69,-7.317971e+07,-1.4009501e+08,0.005147323,0.005147323
2026-07-29 03:26:05.533,2026-07-29,7438.19,-7.318955e+07,-1.4039862e+08,0.005147323,0.005147323
2026-07-29 03:27:05.559,2026-07-29,7440.69,-7.3266776e+07,-1.4054677e+08,0.0051492923,0.0051492923
2026-07-29 03:28:05.584,2026-07-29,7439.94,-7.226393e+07,-1.3862302e+08,0.0050798347,0.0050798347
2026-07-29 03:29:05.62,2026-07-29,7439.94,-7.248997e+07,-1.3905662e+08,0.005095724,0.005095724
2026-07-29 03:30:05.661,2026-07-29,7442.19,-7.259363e+07,-1.3869054e+08,0.005099926,0.005099926
2026-07-29 03:31:05.687,2026-07-29,7442.19,-7.2098064e+07,-1.3774378e+08,0.005065111,0.005065111
2026-07-29 03:32:05.719,2026-07-29,7443.44,-7.212229e+07,-1.3835131e+08,0.005065111,0.005065111
2026-07-29 03:33:05.749,2026-07-29,7443.44,-7.167499e+07,-1.3693549e+08,0.005033698,0.005033698
2026-07-29 03:34:05.782,2026-07-29,7442.19,-7.16986e+07,-1.353067e+08,0.005037048,0.005037048
2026-07-29 03:35:05.812,2026-07-29,7441.44,-7.2330024e+07,-1.3621685e+08,0.0050824312,0.0050824312
2026-07-29 03:36:05.843,2026-07-29,7441.44,-7.1900496e+07,-1.3624723e+08,0.0050522494,0.0050522494
2026-07-29 03:37:05.875,2026-07-29,7444.19,-7.2149456e+07,-1.3671901e+08,0.0050659985,0.0050659985
2026-07-29 03:38:05.903,2026-07-29,7443.19,-7.213007e+07,-1.5632861e+08,0.0050659985,0.0050659985
2026-07-29 03:39:05.929,2026-07-29,7443.44,-7.131563e+07,-1.5456346e+08,0.0050084605,0.0050084605
2026-07-29 03:40:05.955,2026-07-29,7442.94,-7.181727e+07,-1.5565066e+08,0.0050443676,0.0050443676
2026-07-29 03:41:05.983,2026-07-29,7443.94,-7.158684e+07,-1.5515125e+08,0.0050268318,0.0050268318
2026-07-29 03:42:06.01,2026-07-29,7444.44,-7.116727e+07,-1.5424192e+08,0.0049966983,0.0049966983
2026-07-29 03:43:06.044,2026-07-29,7443.69,-7.138447e+07,-1.5471266e+08,0.005012958,0.005012958
2026-07-29 03:44:06.073,2026-07-29,7444.19,-7.1534504e+07,-1.5503781e+08,0.005022819,0.005022819
2026-07-29 03:45:06.097,2026-07-29,7442.94,-7.139871e+07,-1.6029984e+08,0.005014969,0.005014969
2026-07-29 03:46:06.122,2026-07-29,7441.44,-7.1947136e+07,-1.6181106e+08,0.0050555267,0.0050555267
2026-07-29 03:47:06.146,2026-07-29,7442.19,-7.226132e+07,-1.6251768e+08,0.00507658,0.00507658
2026-07-29 03:48:06.177,2026-07-29,7441.69,-7.205365e+07,-1.6120952e+08,0.005062671,0.005062671
2026-07-29 03:49:06.203,2026-07-29,7440.69,-7.228835e+07,-1.6482869e+08,0.005080527,0.005080527
2026-07-29 03:50:06.227,2026-07-29,7440.44,-7.218697e+07,-1.6459752e+08,0.005073743,0.005073743
2026-07-29 03:51:06.251,2026-07-29,7440.19,-7.2371584e+07,-1.6473688e+08,0.0050870604,0.0050870604
2026-07-29 03:52:06.299,2026-07-29,7441.44,-7.24706e+07,-1.6496226e+08,0.0050923093,0.0050923093
2026-07-29 03:53:06.329,2026-07-29,7440.44,-7.2286304e+07,-1.6454275e+08,0.0050807246,0.0050807246
2026-07-29 03:54:06.357,2026-07-29,7440.19,-7.216579e+07,-1.6398763e+08,0.005072595,0.005072595
2026-07-29 03:55:06.382,2026-07-29,7438.94,-7.2502824e+07,-1.7885912e+08,0.0050979983,0.0050979983
2026-07-29 03:56:06.407,2026-07-29,7440.19,-7.268909e+07,-1.7931859e+08,0.0051093777,0.0051093777
2026-07-29 03:57:06.432,2026-07-29,7442.19,-7.2223384e+07,-1.7816974e+08,0.0050739152,0.0050739152
2026-07-29 03:58:06.457,2026-07-29,7443.19,-7.216991e+07,-1.7803784e+08,0.0050687967,0.0050687967
2026-07-29 03:59:06.484,2026-07-29,7442.19,-7.1575864e+07,-1.7657237e+08,0.005028425,0.005028425
2026-07-29 04:00:06.511,2026-07-29,7441.94,-7.2386216e+07,-1.7857144e+08,0.005085696,0.005085696
