timestamp,date,time,core_oivol,core_vol,spx,es,gex_flip,abs_gex,trigger_type,expiration
1782149700089,2026-06-22,13:35:00,7475,7470,7473.58,7473.58,7475,1.0012832e+10,auto-5m,2026-06-22
1782150000017,2026-06-22,17:40:00,7475,7470,7473.33,7473.33,7475,7.441282e+09,auto-5m,2026-06-22
1782150000080,2026-06-22,13:40:00,7475,7470,7473.33,7473.33,7475,9.494743e+09,auto-5m,2026-06-22
1782150300015,2026-06-22,17:45:00,7475,7470,7472.48,7472.48,7475,7.608554e+09,auto-5m,2026-06-22
1782150300078,2026-06-22,13:45:00,7475,7470,7472.52,7472.52,7475,9.780222e+09,auto-5m,2026-06-22
1782150600015,2026-06-22,17:50:00,7475,7470,7476.56,7476.56,7475,7.054064e+09,auto-5m,2026-06-22
1782150601341,2026-06-22,13:50:01,7475,7470,7476.455,7476.455,6972.699,9.347186e+09,auto-5m,2026-06-22
1782150900018,2026-06-22,17:55:00,7475,7470,7480.86,7480.86,7475,5.6674877e+09,auto-5m,2026-06-22
1782150900064,2026-06-22,13:55:00,7475,7470,7480.895,7480.895,6972.699,8.676748e+09,auto-5m,2026-06-22
1782151200017,2026-06-22,18:00:00,7475,7470,7475.77,7475.77,7475,6.616222e+09,auto-5m,2026-06-22
1782151200070,2026-06-22,14:00:00,7475,7470,7475.77,7475.77,6972.699,8.797869e+09,auto-5m,2026-06-22
1782151500014,2026-06-22,18:05:00,7475,7470,7474.01,7474.01,6974.4062,7.869056e+09,auto-5m,2026-06-22
1782151500062,2026-06-22,14:05:00,7475,7470,7474.01,7474.01,6880.745,9.5885e+09,auto-5m,2026-06-22
1782151800019,2026-06-22,18:10:00,7475,7470,7477.66,7477.66,6973.949,6.842523e+09,auto-5m,2026-06-22
1782151800101,2026-06-22,14:10:00,7475,7470,7477.66,7477.66,6973.949,8.630676e+09,auto-5m,2026-06-22
1782152100015,2026-06-22,18:15:00,7475,7470,7478.39,7478.39,6972.6313,6.639109e+09,auto-5m,2026-06-22
1782152100071,2026-06-22,14:15:00,7475,7470,7478.315,7478.315,6972.6313,8.905429e+09,auto-5m,2026-06-22
1782152400014,2026-06-22,18:20:00,7475,7470,7480.71,7480.71,6972.6313,6.263932e+09,auto-5m,2026-06-22
1782152400069,2026-06-22,14:20:00,7475,7470,7480.785,7480.785,6972.6313,8.178596e+09,auto-5m,2026-06-22
