variant,avg_$,avg_R,avg_loss_$,avg_win_$,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,side,stop_pts,stopped_%,t_stat,trades,trigger,win_rate_%
new_core_approach:[from_above]fade/fixed_3r/$150,-21.3,-0.142,-127.48,98.14,15,fade,58.8,fixed_3r,-21.3,-742.34,-362.16,0.68,150.0,132.37,from_above,15.0,35.3,-0.66,17,new_core_approach,47.1
new_core_approach:[from_above]fade/fixed_3r/$250,-38.42,-0.154,-174.98,98.14,15,fade,68.8,fixed_3r,-38.42,-794.86,-614.68,0.56,250.0,163.14,from_above,25.0,25.0,-0.94,16,new_core_approach,50.0
new_core_approach:[from_above]fade/scale_be/$50,-0.98,-0.02,-57.48,36.69,15,fade,5.0,scale_be,-0.98,-194.8,-19.6,0.96,50.0,52.47,from_above,5.0,80.0,-0.08,20,new_core_approach,60.0
new_core_approach:[from_above]fade/scale_be/$100,-7.35,-0.073,-94.15,70.77,15,fade,42.1,scale_be,-7.35,-327.38,-139.62,0.84,100.0,93.21,from_above,10.0,52.6,-0.34,19,new_core_approach,52.6
new_core_approach:[from_above]fade/scale_be/$150,-9.47,-0.063,-123.73,92.1,15,fade,58.8,scale_be,-9.47,-584.86,-160.91,0.84,150.0,121.82,from_above,15.0,35.3,-0.32,17,new_core_approach,52.9
new_core_approach:[from_above]fade/scale_be/$250,-20.06,-0.08,-176.41,101.55,15,fade,62.5,scale_be,-20.06,-629.88,-320.93,0.74,250.0,163.61,from_above,25.0,31.2,-0.49,16,new_core_approach,56.2
new_core_approach:[from_above]fade/ratchet/$50,0.27,0.005,-57.48,38.77,15,fade,5.0,ratchet,0.27,-194.8,5.4,1.01,50.0,53.19,from_above,5.0,80.0,0.02,20,new_core_approach,60.0
new_core_approach:[from_above]fade/ratchet/$100,-3.92,-0.039,-94.15,69.91,15,fade,35.0,ratchet,-3.92,-329.82,-78.35,0.91,100.0,91.57,from_above,10.0,60.0,-0.19,20,new_core_approach,55.0
new_core_approach:[from_above]fade/ratchet/$150,-9.47,-0.063,-123.73,92.1,15,fade,58.8,ratchet,-9.47,-584.86,-160.91,0.84,150.0,121.82,from_above,15.0,35.3,-0.32,17,new_core_approach,52.9
new_core_approach:[from_above]fade/ratchet/$250,-20.06,-0.08,-176.41,101.55,15,fade,62.5,ratchet,-20.06,-629.88,-320.93,0.74,250.0,163.61,from_above,25.0,31.2,-0.49,16,new_core_approach,56.2
